"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Prisma", "SQL", "comment", "blank", "total"
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/products-repository.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 3, 65
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/reviews-repository.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 6, 107
"/Users/tiagosilva/Desktop/BackEndDealIt/src/infrastructure/users-repository.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 1, 6, 81
"/Users/tiagosilva/Desktop/BackEndDealIt/src/types.ts", "TypeScript", -31, 0, 0, 0, 0, 0, 0, -2, -33
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils.ts", "TypeScript", -27, 0, 0, 0, 0, 0, 0, -9, -36
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/types.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 7, 81
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/utils.ts", "TypeScript", 371, 0, 0, 0, 0, 0, 0, 12, 383
"/Users/tiagosilva/Desktop/BackEndDealIt/src/utils/verifyToken.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/tiagosilva/Desktop/BackEndDealIt/tsconfig.json", "JSON with Comments", 0, 0, 2, 0, 0, 0, -86, -5, -89
"Total", "-", 4024, 4139, 2, 15, 2, 91, -46, 465, 8692
